index,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
0,bitcoin,1,BTC,Bitcoin,19814065.0000000000000000,21000000.0000000000000000,2066009212764.6873281286424275,16255746254.6443596940071478,104269.8311913626672835,0.0461093104013392,103330.8204843681420256,https://blockchain.info/
1,ethereum,2,ETH,Ethereum,120503267.7839904600000000,NULL,392679204608.9395024476341715,6840943746.8634090356870541,3258.6602158610436747,-0.9610522772402481,3241.4228964677466622,https://etherscan.io/
2,xrp,3,XRP,XRP,57564441898.0000000000000000,100000000000.0000000000000000,180676759417.3339065132703290,2533111392.1298409866569527,3.1386868952448105,-1.2404855879807182,3.1481351044612373,https://xrpcharts.ripple.com/#/graph/
3,tether,4,USDT,Tether,138608320795.9184600000000000,NULL,138625729139.3500408050747852,31388043707.0291482193644448,1.0001255937834873,-0.0627654994295644,0.9997757675048381,https://www.omniexplorer.info/asset/31
4,solana,5,SOL,Solana,486591887.4685268400000000,NULL,121766725877.1671077906765196,2827352543.5947525011638476,250.2440525892308036,-3.3742970506623332,256.4522912178117065,https://explorer.solana.com/
5,binance-coin,6,BNB,BNB,144006830.0000000000000000,144006830.0000000000000000,99226810139.0031050299816200,271875687.8580102123991651,689.0423887464442140,-0.7051474203764684,689.4098136494061136,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52
6,dogecoin,7,DOGE,Dogecoin,147742896383.7052000000000000,NULL,52230034261.2109015446796940,1094668128.2534361333430341,0.3535197667004140,-2.2327732080106217,0.3569996132264867,http://dogechain.info/chain/Dogecoin
7,usd-coin,8,USDC,USDC,51593806852.6982700000000000,NULL,51589467567.8449183629900698,3990257575.8197730630408472,0.9999158952378579,-0.0126868272188576,1.0000494095411074,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
8,cardano,9,ADA,Cardano,35171343597.7151640000000000,45000000000.0000000000000000,34653094595.0676657582602004,416255395.9776333856809119,0.9852650211895469,-0.6931799035841128,0.9766717296816012,https://cardanoexplorer.com/
9,steth,10,STETH,"Lido Staked ETH",9554455.7010644100000000,NULL,30905633069.4683968816747944,634836.4568311654253162,3234.6827528883061557,-1.3249022130763090,3210.7503985706658364,https://etherscan.io/token/0xae7ab96520de3a18e5e111b5eaab095312d7fe84
10,tron,11,TRX,TRON,86139011885.1123500000000000,NULL,21505229879.7168545417845115,414680547.7131551636313216,0.2496572622448861,-2.5690175949941006,0.2520482080376932,https://tronscan.org/#/
11,chainlink,12,LINK,Chainlink,638099970.4527867000000000,NULL,16146851295.0687773763779115,321353787.7925318144376713,25.3045792865516048,-0.8529561679641399,24.9523295365723547,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
12,avalanche,13,AVAX,Avalanche,411574125.0979895000000000,715748719.0000000000000000,14759200631.5181324218996064,127920000.6064954259453395,35.8603705420115821,-2.9619876740629878,36.2402511135257289,https://avascan.info/
13,wrapped-bitcoin,14,WBTC,"Wrapped Bitcoin",129480.7689668200000000,NULL,13481824463.2628877175415647,52594525.7922708565787587,104122.2149886803870532,0.0098435606433768,102901.4280984037011687,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
14,stellar,15,XLM,Stellar,30487756680.8627360000000000,50001806812.0000000000000000,12970626244.5978879279914654,176030946.3467139665487446,0.4254372133827607,-1.9706597332683092,0.4270603505232970,https://dashboard.stellar.org/
15,shiba-inu,16,SHIB,"Shiba Inu",589255169739811.6000000000000000,NULL,11904362183.6220157231926379,109047163.8450547361431638,0.0000202023890412,-0.6260422078163645,0.0000201309233489,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
16,sp8de,17,SPX,Sp8de,7783756906.1800000000000000,NULL,10371243177.5670824632725525,15883416.1230508981538207,1.3324212591136703,-5.9620002136441504,1.3705055686745301,https://etherscan.io/token/0x05aaaa829afa407d83315cded1d45eb16025910c
17,polkadot,18,DOT,Polkadot,1522267060.0000000000000000,NULL,9762706397.0530567323495140,84159925.0508073879382434,6.4132678513407869,-1.8309320367178526,6.4079256873274014,https://polkascan.io/polkadot
18,unus-sed-leo,19,LEO,"UNUS SED LEO",924256897.9000000000000000,NULL,9024253140.4479323843875079,177491.8957168804554770,9.7637931195881772,-0.1748299093651874,9.5678805341698139,https://eospark.com/account/bitfinexleo1
19,bitcoin-cash,20,BCH,"Bitcoin Cash",19819543.7500000000000000,21000000.0000000000000000,8656402402.4364684940048000,82949301.5088935468652814,436.7609321196643840,-0.9752464235512649,434.0123838056486840,https://blockchair.com/bitcoin-cash/blocks
20,litecoin,21,LTC,Litecoin,75450518.3041093600000000,84000000.0000000000000000,8644897734.9571399949057561,287172596.7570914774419541,114.5770490285194191,-1.0113169343510134,114.8001230703213068,http://explorer.litecoin.net/chain/Litecoin
21,uniswap,22,UNI,Uniswap,600518037.7100000000000000,NULL,7684310406.4560094417510300,114145116.2871107980011764,12.7961358758833633,-3.6078832308977586,12.8521021461825960,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
22,official-trump,23,TRUMP,"Trump Official",200000000.0000000000000000,999999993.4500000000000000,7338412890.0869475000000000,221910115.7791410123120433,36.6920644504347375,-8.8687029129280357,37.8341613362015146,https://solscan.io/token/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN
23,near-protocol,24,NEAR,"NEAR Protocol",1176609043.0000000000000000,NULL,5890723773.9947565841344228,80869733.6720307080133921,5.0065260071222796,-2.1931202310289293,5.0644021796471552,https://explorer.nearprotocol.com/
24,multi-collateral-dai,25,DAI,"Multi Collateral DAI",5365382702.6648720000000000,NULL,5366130720.9059587107674469,96935964.6333547389376583,1.0001394156358530,-0.0225945421068935,1.0003309876505434,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
25,aave,26,AAVE,Aave,15050141.0577526900000000,NULL,5153452489.8480222101665010,190482549.6455635450831141,342.4188829906916228,-3.5746562899605162,342.3922403922472249,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
26,hedera-hashgraph,27,HBAR,"Hedera Hashgraph",14832756028.0000000000000000,50000000000.0000000000000000,4831265280.2944309720487296,136874297.4226447929839862,0.3257159540124832,0.8523294713064294,0.3211857896388010,https://hash-hash.info/
27,internet-computer,28,ICP,"Internet Computer",480029986.2654909500000000,NULL,4475537634.6553275135728195,61567001.5448889391805075,9.3234542897493799,-0.6706458209804641,9.1825477989986654,https://www.dfinityexplorer.org/#/
28,ethereum-classic,29,ETC,"Ethereum Classic",150460147.2984140200000000,210700000.0000000000000000,4157196026.7228455385813063,146336645.4185970635440435,27.6298814095781892,3.1190496608553651,26.9157127453137823,http://gastracker.io/
29,monero,30,XMR,Monero,18446744.0737095500000000,NULL,4046829629.9329276206496794,42579520.2075902675450676,219.3790738225995227,0.6622850547467847,219.7203450091177764,http://moneroblocks.info/
